2023-05-30 21:46:48 startup packages remove
2023-05-30 21:46:48 status installed linux-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 remove linux-virtual:amd64 5.4.0.149.147 <none>
2023-05-30 21:46:49 status half-configured linux-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status half-installed linux-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status config-files linux-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status not-installed linux-virtual:amd64 <none>
2023-05-30 21:46:49 status installed linux-headers-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 remove linux-headers-virtual:amd64 5.4.0.149.147 <none>
2023-05-30 21:46:49 status half-configured linux-headers-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status half-installed linux-headers-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status config-files linux-headers-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status not-installed linux-headers-virtual:amd64 <none>
2023-05-30 21:46:49 status installed linux-headers-generic:amd64 5.4.0.149.147
2023-05-30 21:46:49 remove linux-headers-generic:amd64 5.4.0.149.147 <none>
2023-05-30 21:46:49 status half-configured linux-headers-generic:amd64 5.4.0.149.147
2023-05-30 21:46:49 status half-installed linux-headers-generic:amd64 5.4.0.149.147
2023-05-30 21:46:49 status config-files linux-headers-generic:amd64 5.4.0.149.147
2023-05-30 21:46:49 status not-installed linux-headers-generic:amd64 <none>
2023-05-30 21:46:49 status installed linux-headers-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 remove linux-headers-5.4.0-149-generic:amd64 5.4.0-149.166 <none>
2023-05-30 21:46:49 status half-configured linux-headers-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status half-installed linux-headers-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status config-files linux-headers-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status not-installed linux-headers-5.4.0-149-generic:amd64 <none>
2023-05-30 21:46:49 status installed linux-headers-5.4.0-149:all 5.4.0-149.166
2023-05-30 21:46:49 remove linux-headers-5.4.0-149:all 5.4.0-149.166 <none>
2023-05-30 21:46:49 status half-configured linux-headers-5.4.0-149:all 5.4.0-149.166
2023-05-30 21:46:49 status half-installed linux-headers-5.4.0-149:all 5.4.0-149.166
2023-05-30 21:46:49 status config-files linux-headers-5.4.0-149:all 5.4.0-149.166
2023-05-30 21:46:49 status not-installed linux-headers-5.4.0-149:all <none>
2023-05-30 21:46:49 status installed linux-image-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 remove linux-image-virtual:amd64 5.4.0.149.147 <none>
2023-05-30 21:46:49 status half-configured linux-image-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status half-installed linux-image-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status config-files linux-image-virtual:amd64 5.4.0.149.147
2023-05-30 21:46:49 status not-installed linux-image-virtual:amd64 <none>
2023-05-30 21:46:49 status installed linux-image-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 remove linux-image-5.4.0-149-generic:amd64 5.4.0-149.166 <none>
2023-05-30 21:46:49 status half-configured linux-image-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status half-installed linux-image-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status config-files linux-image-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status installed linux-modules-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 remove linux-modules-5.4.0-149-generic:amd64 5.4.0-149.166 <none>
2023-05-30 21:46:49 status half-configured linux-modules-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status half-installed linux-modules-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status config-files linux-modules-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 startup packages configure
2023-05-30 21:46:49 startup packages purge
2023-05-30 21:46:49 purge linux-image-5.4.0-149-generic:amd64 5.4.0-149.166 <none>
2023-05-30 21:46:49 status config-files linux-image-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status not-installed linux-image-5.4.0-149-generic:amd64 <none>
2023-05-30 21:46:49 purge linux-modules-5.4.0-149-generic:amd64 5.4.0-149.166 <none>
2023-05-30 21:46:49 status config-files linux-modules-5.4.0-149-generic:amd64 5.4.0-149.166
2023-05-30 21:46:49 status not-installed linux-modules-5.4.0-149-generic:amd64 <none>
2023-05-30 21:46:49 startup packages configure
2023-05-30 21:46:51 startup packages remove
2023-05-30 21:46:51 status installed grub-pc:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status installed grub-gfxpayload-lists:amd64 0.7
2023-05-30 21:46:51 status installed grub2-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status installed grub-pc-bin:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status installed grub-common:amd64 2.04-1ubuntu26.16
2023-05-30 21:46:51 status installed os-prober:amd64 1.74ubuntu2
